RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15682273,Burns,683,France,Female,38,5,127616.56,1,1,0,123846.07,0
1,15694321,Su,619,France,Female,28,3,0,2,1,0,53394.12,0
2,15807194,Iweobiegbulam,718,Spain,Male,34,5,113922.44,2,1,0,30772.22,0
3,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0
4,15697686,Stewart,787,France,Female,40,6,0,2,1,1,84151.98,0
5,15672216,Uvarov,584,France,Female,40,4,82441.75,1,0,0,80852.11,0
6,15668283,Gardiner,642,France,Male,48,9,118317.27,4,0,0,78702.98,1
7,15682585,Guerra,593,France,Male,35,9,114193.24,1,1,0,71154.1,0
8,15784092,Henderson,732,France,Male,36,7,126195.81,1,1,1,133172.48,0
9,15719309,Stephens,670,France,Female,42,1,115961.58,2,0,1,29483.87,0
10,15605666,Peyser,720,France,Female,34,6,110717.38,1,1,1,9398.45,0
11,15581620,Franklin,597,France,Male,28,2,0,3,1,1,78707.97,0
12,15715715,Artyomova,799,Spain,Male,38,2,0,2,1,1,59297.34,0
13,15743149,Findlay,711,France,Female,35,8,0,1,1,1,67508.01,0
14,15700046,Yuan,635,France,Male,41,4,103544.88,2,1,0,193746.55,0
15,15703205,Uwaezuoke,656,France,Female,46,5,113402.14,2,1,1,138849.06,0
16,15767864,Fulton,628,France,Male,33,6,0,2,0,0,184230.23,0
17,15703167,Rouse,628,France,Female,45,8,0,2,1,0,193903.06,0
18,15621031,Mofflin,761,Spain,Male,27,8,0,2,1,0,63297.7,0
19,15623858,Charteris,603,France,Male,45,9,0,1,0,0,148516.79,0
20,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0
21,15636977,Trevisan,507,Germany,Male,36,9,118214.32,3,1,0,119110.03,1
22,15641575,Anenechukwu,577,France,Male,37,2,127261.35,1,1,0,56185.05,0
23,15754526,Walker,699,Germany,Male,36,6,147137.74,1,1,1,33687.9,0
24,15581197,Ricci,762,France,Female,51,3,99286.98,1,0,1,85578.63,0
25,15598175,Toscani,592,Germany,Female,26,4,105082.07,2,1,0,132801.57,0
26,15727138,Kulikova,774,Spain,Male,46,9,0,2,1,1,34774.26,0
27,15601594,Ifeanacho,698,France,Female,51,6,144237.91,4,1,0,157143.61,1
28,15581115,Middleton,603,France,Female,39,9,76769.68,1,0,0,48224.72,0
29,15685109,Teng,689,France,Male,39,7,0,2,0,0,14917.09,0
30,15624323,Atkins,642,France,Male,36,4,0,2,1,1,195224.91,0
31,15715297,Yuan,779,Germany,Female,40,2,75470.23,1,1,1,52894.01,0
32,15778368,Allan,552,Germany,Male,50,4,121175.56,1,1,0,117505.07,1
33,15801466,Gray,574,France,Female,39,2,122524.61,2,1,0,88463.63,0
34,15634974,Seppelt,614,France,Female,37,8,75150.34,4,0,1,131766.67,1
35,15811613,Voss,588,France,Female,27,8,0,1,1,0,20066.38,0
36,15679024,Udinesi,553,France,Male,32,3,116324.53,1,1,0,77304.49,0
37,15810807,Alekseeva,513,France,Female,43,9,0,2,1,0,152499.8,0
38,15577700,Rapuokwu,749,France,Male,37,10,185063.7,2,1,1,134526.87,0
39,15654238,Jen,673,France,Female,40,5,137494.28,1,1,0,81753.92,0
40,15655903,Michael,701,Spain,Female,34,6,107980.37,1,1,1,119374.74,0
41,15706534,Enyinnaya,581,France,Female,47,1,122949.14,1,0,0,180251.68,1
42,15569572,Sopuluchi,778,France,Male,42,6,0,2,1,1,106197.44,0
43,15695034,Christie,757,France,Female,44,4,123322.15,1,1,0,137136.29,0
44,15743709,Toomey,683,France,Male,30,4,66190.33,1,1,1,115186.97,0
45,15758702,Watson,705,France,Female,55,8,0,2,1,1,14392.68,0
46,15671148,Barry,490,Germany,Male,33,5,96341,2,0,0,108313.34,0
47,15656121,Medvedeva,733,Germany,Male,31,6,157791.07,2,0,0,177994.81,0
48,15624188,Chiu,712,France,Female,33,6,0,2,1,1,190686.16,0
49,15788659,Howells,695,France,Male,46,4,0,2,1,1,137537.22,0
50,15750772,Walker,671,France,Female,38,6,132129.72,1,0,1,76068.95,0
51,15802483,Hancock,686,France,Male,34,6,146178.13,2,1,1,88837.11,0
52,15627830,Nikitina,640,Germany,Female,30,5,32197.64,1,0,1,141446.01,0
53,15762110,Anderson,628,France,Male,37,0,0,2,1,1,171707.93,0
54,15709338,T'ao,544,France,Female,29,1,118560.55,1,1,1,164137.36,0
55,15681991,Walsh,542,France,Male,32,7,107871.72,1,1,0,125302.64,0
56,15725660,Dellucci,676,France,Male,20,1,80569.73,1,0,0,68621.98,0
57,15602979,Lin,751,France,Male,29,1,135536.5,1,1,0,66825.33,0
58,15631054,Volkova,625,France,Female,24,1,0,2,1,1,180969.55,0
59,15728823,Sharwood,836,Spain,Female,37,10,0,2,1,0,111324.41,0
60,15707559,Clark,682,France,Female,30,9,0,2,1,1,195104.91,0
61,15568120,Lacross,681,France,Female,37,7,69609.85,1,1,1,72127.83,0
62,15676909,Mishin,667,Spain,Female,34,5,0,2,1,0,163830.64,0
63,15644882,Watson,616,Germany,Female,36,10,78249.53,1,1,0,136934.91,0
64,15709222,Chukwueloka,557,Spain,Male,34,3,0,1,0,1,123427.98,0
65,15657529,Chin,714,Germany,Male,53,1,99141.86,1,1,1,72496.05,1
66,15757015,Davies,783,Germany,Female,41,5,106640.5,1,1,0,176945.96,0
67,15719779,May,645,Germany,Male,25,1,157404.02,2,1,0,93073.04,0
68,15591995,Barry,757,Germany,Male,26,8,121581.56,2,1,1,127059.04,0
69,15815271,Ritchie,755,Germany,Male,43,6,165048.5,3,1,0,16929.41,1
70,15669219,Wilson,588,Germany,Male,35,3,104356.38,1,1,0,94498.82,0
71,15718153,Kao,759,Spain,Female,74,6,128917.84,1,1,1,48244.64,0
72,15787174,Sergeyev,512,France,Female,37,1,0,2,0,1,156105.03,0
73,15592716,Clarke,559,France,Male,52,2,0,1,1,0,129013.59,1
74,15723706,Abbott,573,France,Female,33,0,90124.64,1,1,0,137476.71,0
75,15585867,Rutledge,596,Spain,Male,36,2,0,2,0,1,125557.95,0
76,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
77,15763431,Echezonachukwu,698,France,Male,36,2,82275.35,2,1,1,93249.26,0
78,15667521,Crawford,631,France,Female,22,3,0,2,0,0,30781.77,0
79,15699284,Johnson,584,France,Male,49,8,172713.44,1,1,0,113860.81,0
